id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason,fs,tr
1,long,2025-01-01T15:30:00+00:00,2025-01-02T14:00:00+00:00,3352.07,3456.204871053272,0.895,2.4374,90.7633,SL,0.9653,0.8215
3,short,2025-01-02T21:00:00+00:00,2025-01-03T04:30:00+00:00,3452.06,3457.43,0.9479,2.6198,-7.71,Replace,-0.2959,-0.0652
4,short,2025-01-03T04:30:00+00:00,2025-01-03T14:00:00+00:00,3457.43,3504.696719729071,0.9398,2.6172,-47.0385,SL,1.0737,1.3329
2,long,2025-01-02T16:30:00+00:00,2025-01-04T01:00:00+00:00,3468.78,3597.018467448836,0.9434,2.6663,118.3138,SL,0.4647,0.4612
5,long,2025-01-04T11:30:00+00:00,2025-01-05T01:30:00+00:00,3601.21,3638.239200156995,0.9616,2.7846,32.8227,SL,-1.0102,-1.382
6,long,2025-01-06T01:30:00+00:00,2025-01-06T16:30:00+00:00,3647.69,3696.170643929868,0.9764,2.8682,44.4683,SL,-0.0668,-0.0779
7,short,2025-01-07T03:00:00+00:00,2025-01-08T00:00:00+00:00,3679.65,3407.437311608881,1.0041,2.8465,270.4823,SL,0.2954,0.3722
8,long,2025-01-08T18:00:00+00:00,2025-01-09T08:30:00+00:00,3324.11,3308.55,1.3556,3.5965,-24.6896,Replace,-1.3407,-1.4786
10,long,2025-01-09T08:30:00+00:00,2025-01-09T13:30:00+00:00,3308.55,3235.100307137196,1.3396,3.5063,-101.8996,SL,-1.7401,-1.9831
9,short,2025-01-09T06:00:00+00:00,2025-01-09T15:00:00+00:00,3325.29,3279.0113993644804,1.3552,3.5801,59.1367,SL,-0.51,-0.4282
11,long,2025-01-14T14:30:00+00:00,2025-01-15T09:00:00+00:00,3190.33,3219.9821438111735,1.3491,3.4593,36.5444,SL,-0.4263,-0.5044
12,short,2025-01-15T06:00:00+00:00,2025-01-15T13:30:00+00:00,3218.18,3274.1077693191055,1.3374,3.4731,-78.2709,SL,0.5069,0.5416
13,long,2025-01-16T10:30:00+00:00,2025-01-16T14:30:00+00:00,3332.21,3267.001511862508,1.2541,3.3104,-85.0884,SL,-1.0184,-1.0559
15,short,2025-01-16T20:30:00+00:00,2025-01-17T10:00:00+00:00,3335.31,3413.569718078499,1.1764,3.1758,-95.2405,SL,0.5109,0.6221
